classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
207553414,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:16:21 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:15:38.332Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:16:21.156Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:14:39.131Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Clean point source""}]","{""40938213"":{""retired"":null,""diaSourceId"":176486665823453513}}",40938213
207553500,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:16:59 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:16:22.213Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:16:59.462Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:14:39.131Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Other""},{""task"":""T1"",""value"":""no source"",""task_label"":""Describe what you see.""}]","{""40938190"":{""retired"":null,""diaSourceId"":176486665823453495}}",40938190
207553513,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:17:04 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:17:00.441Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:17:04.414Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:14:39.131Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Bad column""}]","{""40938214"":{""retired"":null,""diaSourceId"":176486665823453500}}",40938214
207553529,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:17:09 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:17:05.743Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:17:09.632Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:14:39.131Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Cosmic Ray""}]","{""40938208"":{""retired"":null,""diaSourceId"":176486665823453494}}",40938208
207553563,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:17:22 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:17:11.114Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:17:22.769Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:14:39.131Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Other""},{""task"":""T1"",""value"":""noise"",""task_label"":""Describe what you see.""}]","{""40938186"":{""retired"":null,""diaSourceId"":176486665823453502}}",40938186
207553577,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:17:27 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:17:24.027Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:17:27.851Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:14:39.131Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Bad column""}]","{""40938202"":{""retired"":null,""diaSourceId"":176486665823453503}}",40938202
207553596,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:17:34 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:17:28.984Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:17:34.090Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:14:39.131Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Bad column""}]","{""40938183"":{""retired"":null,""diaSourceId"":176486665823453507}}",40938183
207553645,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:17:58 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:17:35.348Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:17:58.533Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:14:39.131Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Bad column""}]","{""40938212"":{""retired"":null,""diaSourceId"":176486665823453487}}",40938212
207553665,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:18:07 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:17:59.504Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:18:07.607Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":432,""clientHeight"":288,""naturalWidth"":432,""naturalHeight"":288}],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:14:39.131Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Other""},{""task"":""T1"",""value"":""no source"",""task_label"":""Describe what you see.""}]","{""40938191"":{""retired"":null,""diaSourceId"":176486665823453501}}",40938191
207553672,ebellm,1649740,855dd783e4e18cd662b8,13338,Scan cutouts,14.25,2020-03-07 01:18:11 UTC,,,"{""source"":""api"",""session"":""ef4df560cf0cb8504df5dd010a68b497b76ae88c2ce143d106409fe51fe945ec"",""viewport"":{""width"":1440,""height"":1103},""started_at"":""2020-03-07T01:18:08.862Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:73.0) Gecko/20100101 Firefox/73.0"",""utc_offset"":""28800"",""finished_at"":""2020-03-07T01:18:11.670Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null],""subject_selection_state"":{""retired"":false,""selected_at"":""2020-03-07T01:14:39.131Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""28738""}","[{""task"":""T0"",""task_label"":""How would you describe this image?"",""value"":""Bad column""}]","{""40938196"":{""retired"":null,""diaSourceId"":176486665823453498}}",40938196
