,band,tract,patch,fwhm
0,g,9813,0,0.9572788675687165
1,g,9813,1,0.9472628368321045
2,g,9813,2,0.9512240167476057
3,g,9813,3,0.9461015783310123
4,g,9813,4,0.942520115191334
5,g,9813,5,0.9379089119937531
6,g,9813,6,0.9345098111232156
7,g,9813,7,0.9320811325299169
8,g,9813,8,0.9418967318535435
9,g,9813,9,0.952232079392406
10,g,9813,10,0.9578749835327834
11,g,9813,11,0.9541946103813947
12,g,9813,12,0.9481995624330266
13,g,9813,13,0.9469861622753666
14,g,9813,14,0.9461210770050977
15,g,9813,15,0.9403247007445888
16,g,9813,16,0.9282501739569945
17,g,9813,17,0.9394086415164307
18,g,9813,18,0.9354234432295917
19,g,9813,19,0.9466888916909344
20,g,9813,20,0.9532774864479449
21,g,9813,21,0.9499423954900073
22,g,9813,22,0.9480989065742466
23,g,9813,23,0.9370047816927338
24,g,9813,24,0.9469415120844981
25,g,9813,25,0.9335218831097539
26,g,9813,26,0.9332389390449098
27,g,9813,27,0.9424358286874809
28,g,9813,28,0.9393448581867871
29,g,9813,29,0.94069064537821
30,g,9813,30,0.9508792465545945
31,g,9813,31,0.949202869652811
32,g,9813,32,0.9490150991857738
33,g,9813,33,0.9455811004975101
34,g,9813,34,0.9406286054452387
35,g,9813,35,0.9391315813901656
36,g,9813,36,0.9467744432053913
37,g,9813,37,0.9384788427599642
38,g,9813,38,0.9391025602252429
39,g,9813,39,0.9485493897351776
40,g,9813,40,0.9580412944504588
41,g,9813,41,0.9575704426703381
42,g,9813,42,0.9456021617497558
43,g,9813,43,0.9446852600153698
44,g,9813,44,0.9546044815605064
45,g,9813,45,0.9511566966839466
46,g,9813,46,0.9386337704670439
47,g,9813,47,0.9461885608060785
48,g,9813,48,0.9460843233593503
49,g,9813,49,0.942812990339792
50,g,9813,50,0.9606229421880288
51,g,9813,51,0.9570891325995246
52,g,9813,52,0.9477601595976624
53,g,9813,53,0.9470617698517091
54,g,9813,54,0.9498819153785334
55,g,9813,55,0.9370465464133645
56,g,9813,56,0.9464129757959419
57,g,9813,57,0.9346067937634454
58,g,9813,58,0.9524370500563312
59,g,9813,59,0.953414228493183
60,g,9813,60,0.9510633005598518
61,g,9813,61,0.9579185543736177
62,g,9813,62,0.9545563354273234
63,g,9813,63,0.9472119541762432
64,g,9813,64,0.9401691505917045
65,g,9813,65,0.9515138879698894
66,g,9813,66,0.9484258542812951
67,g,9813,67,0.9584557781036134
68,g,9813,68,0.9617816981507441
69,g,9813,69,0.9577510171023986
70,g,9813,70,0.9596733642999035
71,g,9813,71,0.9628663582003549
72,g,9813,72,0.9553973913854712
73,g,9813,73,0.9669214436973924
74,g,9813,74,0.9471849796199182
75,g,9813,75,0.9375082717707193
76,g,9813,76,0.9382189806769221
77,g,9813,77,0.9709585084457258
78,g,9813,78,0.9542698650980452
79,g,9813,79,0.9620022738408208
80,g,9813,80,0.9705386744325998
81,g,9813,81,0.9644833095481489
82,g,9813,82,0.9570949524842951
83,g,9813,83,0.9616329823538339
84,g,9813,84,0.9475698223602091
85,g,9813,85,0.9528362364833417
86,g,9813,86,0.9588375486139249
87,g,9813,87,0.9630806152310548
88,g,9813,88,0.9621487272696178
89,g,9813,89,0.9782719444659677
90,g,9813,90,0.9765129255559055
91,g,9813,91,0.9675554795866221
92,g,9813,92,0.9611852521381048
93,g,9813,93,0.9508852107501862
94,g,9813,94,0.9610522692877377
95,g,9813,95,0.9751704077770538
96,g,9813,96,0.9641027675598774
97,g,9813,97,0.9705588277533957
98,g,9813,98,0.9767120090555106
99,g,9813,99,0.9914776233062524
100,i,9813,0,0.8654171053685993
101,i,9813,1,0.8485126979050931
102,i,9813,2,0.8495499075903599
103,i,9813,3,0.8626954114695956
104,i,9813,4,0.8443799816817101
105,i,9813,5,0.8491042615401918
106,i,9813,6,0.8557999879229767
107,i,9813,7,0.8592874407073661
108,i,9813,8,0.861088729769691
109,i,9813,9,0.8560820856879956
110,i,9813,10,0.8552562431044901
111,i,9813,11,0.8421203609969958
112,i,9813,12,0.8319697008334022
113,i,9813,13,0.8387560289564727
114,i,9813,14,0.8368234578384519
115,i,9813,15,0.8479291920047736
116,i,9813,16,0.8570751894040143
117,i,9813,17,0.8483942878072223
118,i,9813,18,0.8629513289318989
119,i,9813,19,0.8610248929067192
120,i,9813,20,0.8442100807574987
121,i,9813,21,0.8498288342308528
122,i,9813,22,0.8400504415546428
123,i,9813,23,0.8346736214239358
124,i,9813,24,0.8313702626244546
125,i,9813,25,0.8435972468831153
126,i,9813,26,0.8440241390125766
127,i,9813,27,0.8502951172106723
