,band,tract,patch,fwhm
205,r,2395,5,1.0313161408955966
206,r,2395,6,1.0156071522845682
207,r,2395,7,1.048920201414345
208,r,2395,8,0.9459829866481931
209,r,2395,9,0.9871761417635652
210,r,2395,10,1.0714713778079554
211,r,2395,11,1.0566406772150863
212,r,2395,12,1.0557673800149148
213,r,2395,13,1.0513328026630981
214,r,2395,14,1.0406043435747228
215,r,2395,15,1.0340053130733757
216,r,2395,16,1.0092685016301137
217,r,2395,17,1.0063533766441788
218,r,2395,18,1.0260300770529411
219,r,2395,19,0.8694037258100895
220,r,2395,20,1.031912408293641
221,r,2395,21,1.0465197885834554
222,r,2395,22,1.0432813027727679
223,r,2395,23,1.0338898832070895
224,r,2395,24,1.0221445696907645
225,r,2395,25,0.9969302477775938
226,r,2395,26,1.022441662225433
227,r,2395,27,1.0109868622392486
228,r,2395,28,1.0046410968479933
229,r,2395,29,1.0295954378538652
230,r,2395,30,1.0169634121487363
231,r,2395,31,1.0242658672448022
232,r,2395,32,1.0141228275657468
233,r,2395,33,1.0211014494898067
234,r,2395,34,1.0618865828867257
235,r,2395,35,1.0062401849154583
236,r,2395,36,1.0264257590443353
237,r,2395,37,1.0139077895416189
238,r,2395,38,1.0045513064479494
239,r,2395,39,0.9874224807149586
240,r,2395,40,1.0200166160281476
241,r,2395,41,0.9734605166473473
242,r,2395,42,1.0803532459591838
243,r,2395,43,1.0391422051134054
244,r,2395,44,1.016380843310991
245,r,2395,45,1.0539844916819836
246,r,2395,46,1.0327220964382071
247,r,2395,47,1.0456184193399554
248,r,2395,48,1.0216213793631321
249,r,2395,49,0.9939221051696118
250,r,2395,50,1.0180196243154518
251,r,2395,51,1.012693529330669
252,r,2395,52,1.0285087775828916
253,r,2395,53,0.9983715977031654
254,r,2395,54,1.028351955389234
255,r,2395,55,0.9887007787313102
256,r,2395,56,1.0082484193964305
257,r,2395,57,1.0417064262506004
258,r,2395,58,1.0433513429659016
259,r,2395,59,1.0409094432035286
260,r,2395,60,0.9996027757003905
261,r,2395,61,0.9947569639954141
262,r,2395,62,1.009477901687785
263,r,2395,63,1.0215959034281743
