,band,tract,patch,fwhm
123,i,2234,23,0.9254584369934737
124,i,2234,24,0.9126915114262464
125,i,2234,25,0.9212541133492312
126,i,2234,26,0.9361939699882962
127,i,2234,27,0.882268672105742
128,i,2234,28,0.9089883333223256
129,i,2234,29,0.8955986621038676
130,i,2234,30,0.89827038639933
131,i,2234,31,0.9187343886747631
132,i,2234,32,0.9179436880790034
133,i,2234,33,0.941157771880209
134,i,2234,34,0.918109326809932
135,i,2234,35,0.9164618036018656
136,i,2234,36,0.9079185439657448
137,i,2234,37,0.9183394152094986
138,i,2234,38,0.9108402445657205
139,i,2234,39,0.9020736913893922
140,i,2234,40,0.8985398046094595
141,i,2234,41,0.9065770843823859
142,i,2234,42,0.9173515970151958
143,i,2234,43,0.9030974812999383
144,i,2234,44,0.9080029391113684
145,i,2234,45,0.9045334779426334
146,i,2234,46,0.9099645497032003
147,i,2234,47,0.9038943364788585
148,i,2234,48,0.9003548527785835
149,i,2234,49,0.9014444177719532
150,i,2234,50,0.9181413542355726
151,i,2234,51,0.9271659127674221
152,i,2234,52,0.8998525159114821
153,i,2234,53,0.9075714725002973
154,i,2234,54,0.9106353840762289
155,i,2234,55,0.915300503577234
156,i,2234,56,0.9585035256967537
157,i,2234,57,0.9079003139033415
158,i,2234,58,0.9022681419827029
159,i,2234,59,0.901991836099239
160,i,2234,60,0.934721944895961
161,i,2234,61,0.9079911881179309
162,i,2234,62,0.9200648304454463
163,i,2234,63,0.9136452900007241
164,i,2234,64,0.9069913328424912
165,i,2234,65,0.9537545874728178
166,i,2234,66,0.9019099122522478
167,i,2234,67,0.8817683769118736
168,i,2234,68,0.8942486538047767
169,i,2234,69,0.8848616687653346
170,i,2234,70,0.9140494430380942
171,i,2234,71,0.9065299145294285
172,i,2234,72,0.8999575281045504
173,i,2234,73,0.9129785070795426
174,i,2234,74,0.9174218011832886
175,i,2234,75,0.8758649194176638
176,i,2234,76,0.9010110585865377
177,i,2234,77,0.8986237719325741
178,i,2234,78,0.8912394753710928
179,i,2234,79,0.913735438834806
180,i,2234,80,0.9546583709183892
181,i,2234,81,0.9173636383375743
182,i,2234,82,0.9081550343995128
183,i,2234,83,0.8854018888911503
184,i,2234,84,0.9044232199128137
185,i,2234,85,0.9013605580037493
186,i,2234,86,0.8905022029860347
187,i,2234,87,0.9298301733967689
188,i,2234,88,0.9227768116062904
189,i,2234,89,0.8746504692638969
190,i,2234,90,0.9284546621416372
191,i,2234,91,0.9375774753637703
192,i,2234,92,0.9172573592749412
193,i,2234,93,0.8875036522581011
194,i,2234,94,0.8885287850093713
195,i,2234,95,0.8988824729881773
196,i,2234,96,0.886450616633878
197,i,2234,97,0.9096002955995108
198,i,2234,98,0.9343051736119167
199,i,2234,99,0.8819448589337013
200,r,2234,0,0.9543131829368022
201,r,2234,1,0.9725080430955716
202,r,2234,2,0.944739366199843
203,r,2234,3,0.929110640533553
204,r,2234,4,0.9231639607770857
205,r,2234,5,0.9217799263758446
206,r,2234,6,0.8152906862273671
207,r,2234,7,0.9420771955622176
208,r,2234,8,0.9846350987652674
209,r,2234,9,0.9907730982369479
210,r,2234,10,0.9692618087572745
211,r,2234,11,0.9403799570396023
212,r,2234,12,0.909203115374071
213,r,2234,13,0.9495639082239653
214,r,2234,14,0.9394446992640507
215,r,2234,15,0.9193514853909877
216,r,2234,16,0.9099112668983029
217,r,2234,17,0.9082444726657208
218,r,2234,18,0.8897810901160244
219,r,2234,19,1.0009684889093435
220,r,2234,20,0.9564979220117937
221,r,2234,21,0.9574939683004472
222,r,2234,22,0.970552421786453
223,r,2234,23,0.9091429679750551
224,r,2234,24,0.9371062455511775
225,r,2234,25,0.9733900422895335
226,r,2234,26,0.9326067754895814
227,r,2234,27,0.9048991891009438
228,r,2234,28,0.9036324651542968
229,r,2234,29,0.8759762960348193
230,r,2234,30,0.9785940573542873
231,r,2234,31,0.9788962219541285
232,r,2234,32,0.9717743913240096
233,r,2234,33,0.9783254175606276
234,r,2234,34,0.9219276428881882
235,r,2234,35,0.9363845901535467
236,r,2234,36,0.9184244172310104
237,r,2234,37,0.9344479748166337
238,r,2234,38,0.9655688985471884
239,r,2234,39,0.88987596472461
240,r,2234,40,0.9784997611858541
241,r,2234,41,0.9820346225745434
242,r,2234,42,0.9698972646062695
243,r,2234,43,0.9715923548125285
244,r,2234,44,0.9420136343434136
245,r,2234,45,0.934644528738626
246,r,2234,46,0.9217392999535067
247,r,2234,47,0.9705975894876595
248,r,2234,48,0.909723744689493
249,r,2234,49,0.9066551902581228
250,r,2234,50,0.9715314885127493
251,r,2234,51,0.971910569502183
252,r,2234,52,0.9621246280108133
253,r,2234,53,0.9492076277244172
254,r,2234,54,0.9490870529507913
255,r,2234,55,0.9409740566556817
256,r,2234,56,0.9571604175348623
257,r,2234,57,0.9337750830747407
258,r,2234,58,0.9238749648228611
259,r,2234,59,0.9238981056724216
260,r,2234,60,0.9431765217159689
261,r,2234,61,0.977980308630894
262,r,2234,62,0.9633307157820385
263,r,2234,63,0.9668731060890869
264,r,2234,64,0.9503642194808599
265,r,2234,65,0.9475343985236657
266,r,2234,66,0.9268379179862765
267,r,2234,67,0.9242051880974915
268,r,2234,68,0.9324257731639535
269,r,2234,69,0.9336433924247844
270,r,2234,70,0.9967295494592753
271,r,2234,71,0.9561316530220569
272,r,2234,72,0.9837269135249249
273,r,2234,73,0.9575080611128448
274,r,2234,74,0.9515548743277311
275,r,2234,75,0.9259356125774364
276,r,2234,76,0.9218324815601042
277,r,2234,77,0.9360869584108903
278,r,2234,78,0.9132284492125475
279,r,2234,79,0.9190838520814577
280,r,2234,80,0.9909400247264468
281,r,2234,81,0.9959669963170849
282,r,2234,82,0.9498147709079401
283,r,2234,83,0.9654171855281772
284,r,2234,84,0.9477656118439051
285,r,2234,85,0.9390926078449472
286,r,2234,86,0.9129400511529577
287,r,2234,87,0.9275888310541417
288,r,2234,88,0.936291501902969
289,r,2234,89,0.9138999540378118
290,r,2234,90,0.9878304920921019
291,r,2234,91,0.9823467638960081
292,r,2234,92,1.0120481495415021
293,r,2234,93,0.9284045129604759
294,r,2234,94,0.9493782063214907
295,r,2234,95,0.9392577773663618
296,r,2234,96,0.9304840399119652
297,r,2234,97,0.9193343274092831
298,r,2234,98,0.9250038115910093
299,r,2234,99,0.914212976033093
300,y,2234,0,0.758345481670456
301,y,2234,1,0.7782700872475017
302,y,2234,2,0.7979492608604694
303,y,2234,3,0.7766261256762818
304,y,2234,4,0.7876688958123558
305,y,2234,5,0.7415865578877534
306,y,2234,6,0.850558207562285
307,y,2234,7,0.8908367153215558
308,y,2234,8,0.9093573888943309
309,y,2234,9,0.8861337157399124
310,y,2234,10,0.7609122768584626
311,y,2234,11,0.8488677879972445
312,y,2234,12,0.7825987017910319
313,y,2234,13,0.8508319803877799
314,y,2234,14,0.7725321675539925
315,y,2234,15,0.8132489558755408
316,y,2234,16,0.8389576098516076
317,y,2234,17,0.8485763901379839
318,y,2234,18,0.8988532758880615
319,y,2234,19,0.8677983023905709
320,y,2234,20,0.7999948990103046
321,y,2234,21,0.7852627061384455
322,y,2234,22,0.7699228740382458
323,y,2234,23,0.7709846179951969
324,y,2234,24,0.8561302144673837
325,y,2234,25,0.7733598478233219
326,y,2234,26,0.8128577135826092
327,y,2234,27,0.8302274581555471
328,y,2234,28,0.9168881706626257
329,y,2234,29,0.8899982254553049
330,y,2234,30,0.8193062537224485
331,y,2234,31,0.8050165080908228
332,y,2234,32,0.8023729761198859
