,band,tract,patch,fwhm
0,g,9813,0,0.8331840956390988
1,g,9813,1,0.8327193944417769
2,g,9813,2,0.8231357213549346
3,g,9813,3,0.8284242747138655
4,g,9813,4,0.8244257157403534
5,g,9813,5,0.8255506023420797
6,g,9813,6,0.8237211288498962
7,g,9813,7,0.8235307731477527
8,g,9813,8,0.8292996375492621
9,g,9813,9,0.8201040145373523
10,g,9813,10,0.8449541978080823
11,g,9813,11,0.8376305517089228
12,g,9813,12,0.8300735101601595
13,g,9813,13,0.8297645151253562
14,g,9813,14,0.8354675238519754
15,g,9813,15,0.8204553503275813
16,g,9813,16,0.8287607838735997
17,g,9813,17,0.8087004815567325
18,g,9813,18,0.8198718450816186
19,g,9813,19,0.8294106955842419
20,g,9813,20,0.8354262827399949
21,g,9813,21,0.834256524281932
22,g,9813,22,0.8207460763343717
23,g,9813,23,0.8151245439861656
24,g,9813,24,0.8254041348338504
25,g,9813,25,0.8192013705228556
26,g,9813,26,0.8169791030090116
27,g,9813,27,0.8261895292025523
28,g,9813,28,0.8191227188949313
29,g,9813,29,0.8235026470135577
30,g,9813,30,0.8338736456912117
31,g,9813,31,0.8357917268188632
32,g,9813,32,0.8306548664997728
33,g,9813,33,0.830628801869914
34,g,9813,34,0.8280854653313954
35,g,9813,35,0.8259739979930267
36,g,9813,36,0.8297825878465857
37,g,9813,37,0.8249982088274619
38,g,9813,38,0.8237549871009249
39,g,9813,39,0.8263076629502839
40,g,9813,40,0.8282574786201313
41,g,9813,41,0.8363307885280682
42,g,9813,42,0.8293441461561722
43,g,9813,43,0.8300745582155964
44,g,9813,44,0.838341100416773
45,g,9813,45,0.8278248293248215
46,g,9813,46,0.8298179938173444
47,g,9813,47,0.8288913717388621
48,g,9813,48,0.820755077090634
49,g,9813,49,0.8164557803808924
50,g,9813,50,0.8397691245420585
51,g,9813,51,0.8405824073500585
52,g,9813,52,0.8309934247151963
53,g,9813,53,0.827346621346592
54,g,9813,54,0.8282775162688483
55,g,9813,55,0.8301018214354413
56,g,9813,56,0.8315454912837743
57,g,9813,57,0.8214939532006064
58,g,9813,58,0.8323208899005247
59,g,9813,59,0.8261273807423836
60,g,9813,60,0.8275176705942986
61,g,9813,61,0.8347145927427952
62,g,9813,62,0.8269524288809464
63,g,9813,63,0.8271780903045622
64,g,9813,64,0.823175691272685
65,g,9813,65,0.8249784351548911
66,g,9813,66,0.8283643534704123
67,g,9813,67,0.8342548361420274
68,g,9813,68,0.8373020636232508
69,g,9813,69,0.8287828801932012
70,g,9813,70,0.8235064517244827
71,g,9813,71,0.8305478457321614
72,g,9813,72,0.8257227235496771
73,g,9813,73,0.8244336743039686
74,g,9813,74,0.8273318177741351
75,g,9813,75,0.8234668846783513
76,g,9813,76,0.8229709122939431
77,g,9813,77,0.8445539006471823
78,g,9813,78,0.8298598533190065
79,g,9813,79,0.8332783367198648
80,g,9813,80,0.8387583448833871
81,g,9813,81,0.8308158030694511
82,g,9813,82,0.8236990145286529
83,g,9813,83,0.8332216010888477
84,g,9813,84,0.8216938684891768
85,g,9813,85,0.8284865641542961
86,g,9813,86,0.8301104986382137
87,g,9813,87,0.8353723341969834
88,g,9813,88,0.8290997178535694
89,g,9813,89,0.8529526181313802
90,g,9813,90,0.8382755145858418
91,g,9813,91,0.8375582368784532
92,g,9813,92,0.8328363044377535
93,g,9813,93,0.825569804705311
94,g,9813,94,0.8366643713851585
95,g,9813,95,0.8394516759320766
96,g,9813,96,0.8433083249087444
97,g,9813,97,0.8363347926417358
98,g,9813,98,0.8450793706552432
99,g,9813,99,0.8561554001690777
100,i,9813,0,0.6504303637452503
101,i,9813,1,0.6480828453156026
102,i,9813,2,0.651170213299169
103,i,9813,3,0.6576610302025964
104,i,9813,4,0.6479886873124642
105,i,9813,5,0.633222665092704
106,i,9813,6,0.6470967037257706
107,i,9813,7,0.6400475782680832
108,i,9813,8,0.6466987794776164
109,i,9813,9,0.6582288856217137
110,i,9813,10,0.6464621548294868
111,i,9813,11,0.6457062201071351
112,i,9813,12,0.6414518641777845
113,i,9813,13,0.6435923642400613
114,i,9813,14,0.6426382372598997
115,i,9813,15,0.6443264215366536
116,i,9813,16,0.6390267293508438
117,i,9813,17,0.6409168235110032
118,i,9813,18,0.6506076920181263
119,i,9813,19,0.6593336605038669
120,i,9813,20,0.6383508967216753
121,i,9813,21,0.638200358988178
122,i,9813,22,0.6336227062524769
123,i,9813,23,0.637908775924513
124,i,9813,24,0.6405114027289157
125,i,9813,25,0.629506325419634
126,i,9813,26,0.6427700465639843
127,i,9813,27,0.6381617685916359
128,i,9813,28,0.6394396625458203
129,i,9813,29,0.6492895932436213
130,i,9813,30,0.6376816889092841
131,i,9813,31,0.6386821541108735
132,i,9813,32,0.628764319865871
133,i,9813,33,0.6291225638978162
134,i,9813,34,0.6290291729781678
135,i,9813,35,0.6327486499013308
136,i,9813,36,0.6404966888933908
137,i,9813,37,0.6347360899174634
138,i,9813,38,0.6418199264435835
139,i,9813,39,0.6413308076198865
140,i,9813,40,0.6421647088892601
141,i,9813,41,0.6331540883084698
142,i,9813,42,0.6282733643886662
143,i,9813,43,0.628262532672281
144,i,9813,44,0.6339634701449561
145,i,9813,45,0.6397706802769559
146,i,9813,46,0.6397587263791213
147,i,9813,47,0.6407085573392248
148,i,9813,48,0.6430562901119771
149,i,9813,49,0.6442393819768474
150,i,9813,50,0.6258062842641059
151,i,9813,51,0.6281966880478635
152,i,9813,52,0.6131897939442863
153,i,9813,53,0.627681293036601
154,i,9813,54,0.6357504425127044
155,i,9813,55,0.6444505332637155
156,i,9813,56,0.6448335699774129
157,i,9813,57,0.6415224178454647
158,i,9813,58,0.6470942363332658
159,i,9813,59,0.6470989093627497
160,i,9813,60,0.620089065522627
161,i,9813,61,0.6188479935311162
162,i,9813,62,0.6281868189486057
