,band,tract,patch,fwhm
0,g,2395,0,1.084148630023555
1,g,2395,1,1.066998969089235
2,g,2395,2,1.0545349668508786
3,g,2395,3,1.1075952930281512
4,g,2395,4,1.0608881404338302
5,g,2395,5,1.0536176183271981
6,g,2395,6,1.0971441584193504
7,g,2395,7,1.0618407249232227
8,g,2395,8,1.0717675897633467
9,g,2395,9,1.0607403578441816
10,g,2395,10,1.0387953183587235
11,g,2395,11,1.059761842880288
12,g,2395,12,1.014240381032127
13,g,2395,13,1.0882070941277278
14,g,2395,14,1.0815372893041013
15,g,2395,15,1.0656394589660205
16,g,2395,16,1.0258503802146806
17,g,2395,17,1.0793922534931093
18,g,2395,18,1.0575176435910938
19,g,2395,19,1.055798622270472
20,g,2395,20,1.0710045542864508
21,g,2395,21,0.9929897533206514
22,g,2395,22,1.0395146016506676
23,g,2395,23,1.096885772826585
24,g,2395,24,1.0645361768806167
25,g,2395,25,1.058669546305004
26,g,2395,26,1.070225587819993
27,g,2395,27,1.049879902159848
28,g,2395,28,1.0815931349884198
29,g,2395,29,1.0581787075138116
30,g,2395,30,1.0289794328983888
31,g,2395,31,1.0460414021265518
32,g,2395,32,1.046810136500813
33,g,2395,33,1.0343175473114234
34,g,2395,34,1.0858465608412393
35,g,2395,35,1.0915902327469602
36,g,2395,36,1.0833600627814386
37,g,2395,37,1.0758780012724733
38,g,2395,38,1.0405638212612474
39,g,2395,39,1.0166160827875181
40,g,2395,40,1.0622246823710704
41,g,2395,41,1.0446864643815998
42,g,2395,42,1.034177297740243
43,g,2395,43,1.045698500615095
44,g,2395,44,1.0450826714929222
45,g,2395,45,1.0932597356035065
46,g,2395,46,1.0898909096451619
47,g,2395,47,1.0519011544996466
48,g,2395,48,1.0562173021528058
49,g,2395,49,1.0225958729075808
50,g,2395,50,1.0395518962024615
51,g,2395,51,1.0548540135812476
52,g,2395,52,1.0089196440531394
53,g,2395,53,1.0028485781512149
54,g,2395,54,1.0445610799824612
55,g,2395,55,1.0704280025229969
56,g,2395,56,1.1151181675828268
57,g,2395,57,1.0619408989868127
58,g,2395,58,1.0533025301724723
59,g,2395,59,1.043021478061101
60,g,2395,60,1.0323950450318873
61,g,2395,61,0.993264139081645
62,g,2395,62,1.0404552395055988
63,g,2395,63,1.0065792596037688
64,g,2395,64,1.0398111981647387
65,g,2395,65,1.013628658596997
66,g,2395,66,1.0422193788014975
67,g,2395,67,1.0373995456421725
68,g,2395,68,1.0512884632736244
69,g,2395,69,1.0280297338132267
70,g,2395,70,1.028637917574352
71,g,2395,71,1.0336144789390913
72,g,2395,72,1.064748434195727
73,g,2395,73,1.0740797006430476
74,g,2395,74,0.997318138055657
75,g,2395,75,1.0150992207000058
76,g,2395,76,1.0731910346934757
77,g,2395,77,1.0260155266399165
78,g,2395,78,1.0547707263788746
79,g,2395,79,1.0458875846480238
80,g,2395,80,1.0502770716525394
81,g,2395,81,1.0500450872226028
82,g,2395,82,1.039565957733133
83,g,2395,83,1.0297609365112486
84,g,2395,84,1.0342946196170442
85,g,2395,85,1.0135868415040834
86,g,2395,86,1.016484159625995
87,g,2395,87,1.0563288656127712
88,g,2395,88,1.0935232813213174
89,g,2395,89,1.0757494447717753
90,g,2395,90,1.0446469267679042
91,g,2395,91,1.037126043465414
92,g,2395,92,1.0494274928890626
93,g,2395,93,1.0149536549468363
94,g,2395,94,1.0218759275142444
95,g,2395,95,1.0232419589676545
96,g,2395,96,1.0091178167421633
97,g,2395,97,1.0458963487742667
98,g,2395,98,1.0456558673870477
99,g,2395,99,1.1706579236075698
100,i,2395,0,0.9182031014508351
101,i,2395,1,0.9023708279542361
102,i,2395,2,0.8938774917531163
103,i,2395,3,0.8877419232377269
104,i,2395,4,0.9014717030642215
105,i,2395,5,0.903068376522329
106,i,2395,6,0.9113421606947105
107,i,2395,7,0.9263687251700156
108,i,2395,8,0.9353173257174783
109,i,2395,9,0.9345268582665727
110,i,2395,10,0.9083444717893967
111,i,2395,11,0.9040800648254461
112,i,2395,12,0.9128226576473444
113,i,2395,13,0.9155254368558587
114,i,2395,14,0.9084038276503549
115,i,2395,15,0.8984366628881013
116,i,2395,16,0.9043152761331266
117,i,2395,17,0.9136807674285061
118,i,2395,18,0.9175292247985768
119,i,2395,19,0.918220349105959
120,i,2395,20,0.9066103186521319
121,i,2395,21,0.9108045013225006
122,i,2395,22,0.9075834051171582
123,i,2395,23,0.9156222051669218
124,i,2395,24,0.9118798736030416
125,i,2395,25,0.8969534867935112
126,i,2395,26,0.908926075039468
127,i,2395,27,0.9138248343173138
128,i,2395,28,0.9331964245173648
129,i,2395,29,0.9111352479516249
130,i,2395,30,0.9101477459331294
131,i,2395,31,0.934774897918458
132,i,2395,32,0.8976309713284611
133,i,2395,33,0.9148404300701558
134,i,2395,34,0.915502823034906
135,i,2395,35,0.879875730901877
136,i,2395,36,0.9075664404414114
137,i,2395,37,0.900352562963548
138,i,2395,38,0.9207989500892513
139,i,2395,39,0.9388185780610364
140,i,2395,40,0.9093359208629807
141,i,2395,41,0.9407621491389707
142,i,2395,42,0.9438066521242456
143,i,2395,43,0.916086851730328
144,i,2395,44,0.9378922210521149
145,i,2395,45,0.9134478355487149
146,i,2395,46,0.8921839309298755
147,i,2395,47,0.914135062680108
148,i,2395,48,0.9104403426754848
149,i,2395,49,0.902191911418202
150,i,2395,50,0.89276537251199
151,i,2395,51,0.9320483795863709
152,i,2395,52,0.9075396712057912
153,i,2395,53,0.901371847215772
154,i,2395,54,0.8921367912591649
155,i,2395,55,0.9016138416032403
156,i,2395,56,0.9080703233491397
157,i,2395,57,0.9047315642165167
158,i,2395,58,0.9049447477847906
159,i,2395,59,0.8902647118893414
160,i,2395,60,0.8969105615780926
161,i,2395,61,0.9318951689115725
162,i,2395,62,0.9131170879604629
163,i,2395,63,0.9029254316267142
164,i,2395,64,0.9047733038250411
165,i,2395,65,0.8988450798899518
166,i,2395,66,0.9051026731223519
167,i,2395,67,0.9050957400374927
168,i,2395,68,0.9383092036411018
169,i,2395,69,0.9619169818267821
170,i,2395,70,0.8955202795358375
171,i,2395,71,0.8916856714442943
172,i,2395,72,0.9350897323354419
173,i,2395,73,0.9145395128877567
174,i,2395,74,0.8882935967137394
175,i,2395,75,0.9011595215516321
176,i,2395,76,0.8701923623421053
177,i,2395,77,0.9058391579264529
178,i,2395,78,0.9201149050935525
179,i,2395,79,0.9390731970679298
180,i,2395,80,0.8941386521893545
181,i,2395,81,0.9103035857764499
182,i,2395,82,0.8721330828619411
183,i,2395,83,0.8857826301774854
184,i,2395,84,0.889801001094379
185,i,2395,85,0.8705915677001093
186,i,2395,86,0.8932113160604888
187,i,2395,87,0.8899055347139101
188,i,2395,88,0.8928892298791731
189,i,2395,89,0.9420744675425983
190,i,2395,90,0.8991259125918246
191,i,2395,91,0.9026107553428265
192,i,2395,92,0.887085301196345
193,i,2395,93,0.8658697592356204
194,i,2395,94,0.8859664832244096
195,i,2395,95,0.904780102650056
196,i,2395,96,0.8865985069245058
197,i,2395,97,0.8865807969028439
198,i,2395,98,0.8888543414960138
199,i,2395,99,0.9495257393067402
200,r,2395,0,1.079026337301548
201,r,2395,1,1.0757864401183883
202,r,2395,2,1.0640695972602052
203,r,2395,3,1.038898217106747
204,r,2395,4,1.0493562461692407
